timestamp,VOC,CH4,SMOKE,CO,ODOR,label
26448,414,432,191,71,595,cola
26464,413,428,191,71,595,cola
26480,412,424,190,70,594,cola
26496,411,419,189,69,593,cola
26512,411,416,188,69,593,cola
26528,410,413,187,69,593,cola
26544,409,410,187,68,593,cola
26560,408,408,186,69,592,cola
26576,407,407,185,68,591,cola
26592,407,407,185,68,590,cola
26608,407,408,184,68,590,cola
26624,407,408,183,67,590,cola
26640,407,409,182,67,590,cola
26656,408,411,181,67,590,cola
26672,408,414,180,67,590,cola
26688,408,416,180,68,589,cola
26704,409,417,180,67,588,cola
26720,411,416,180,67,587,cola
26736,412,416,180,66,585,cola
26752,413,417,179,66,583,cola
26768,413,419,179,66,582,cola
26784,414,420,178,66,582,cola
26800,415,420,179,65,582,cola
26816,415,418,178,65,582,cola
26832,415,417,178,65,583,cola
26848,415,417,177,65,585,cola
26864,414,416,177,66,587,cola
26880,413,416,177,66,588,cola
26896,413,415,177,66,590,cola
26912,412,414,177,67,591,cola
26928,410,413,176,67,592,cola
26944,409,411,176,67,594,cola
26960,408,409,176,67,594,cola
26976,407,408,176,68,595,cola
26992,406,408,175,67,596,cola
27008,405,406,175,68,596,cola
27024,404,404,175,68,597,cola
27040,403,402,175,68,597,cola
27056,402,400,174,67,597,cola
27072,402,398,173,68,597,cola
27088,400,398,172,67,596,cola
27104,400,396,171,68,596,cola
27120,399,396,170,67,595,cola
27136,399,398,169,67,594,cola
27152,398,400,169,66,594,cola
27168,398,402,169,66,594,cola
27184,397,405,168,66,595,cola
27200,396,407,168,66,595,cola
27216,396,408,167,66,595,cola
27232,396,410,167,66,596,cola
27248,397,411,166,66,596,cola
27264,397,411,166,66,596,cola
27280,398,410,166,66,596,cola
27296,399,409,165,66,597,cola
27312,399,409,166,66,597,cola
27328,398,408,165,67,598,cola
27344,399,408,165,67,597,cola
27360,399,408,166,67,595,cola
27376,399,408,166,68,593,cola
27392,399,410,166,68,592,cola
27408,400,411,166,67,591,cola
27424,401,414,167,67,591,cola
27440,402,416,167,67,590,cola
27456,403,419,167,66,590,cola
27472,403,421,167,67,590,cola
27488,403,422,168,66,589,cola
27504,403,423,169,66,590,cola
27520,402,423,170,66,590,cola
